,項目別,樣本數,總計,臺灣客家人,福老人,大陸各省市人,原住民,臺灣人,其他族群,不知道/未回答,縣市,鄉鎮市區
156,旗山區,405,100.0,22.7,67.1,1.2,4.9,3.9,0.1,-,高雄市,旗山區
157,美濃區,403,100.0,87.1,9.0,1.7,0.2,0.8,-,1.2,高雄市,美濃區
158,六龜區,400,100.0,37.5,44.1,3.7,10.8,0.3,3.6,0.1,高雄市,六龜區
159,甲仙區,400,100.0,35.3,53.0,1.2,7.5,2.0,0.1,0.9,高雄市,甲仙區
160,杉林區,404,100.0,58.2,31.0,6.1,3.5,1.0,0.2,-,高雄市,杉林區
161,內門區,102,100.0,0.7,90.3,-,7.2,1.8,-,-,高雄市,內門區
162,茂林區,101,100.0,0.9,83.3,14.8,0.8,0.2,-,-,高雄市,茂林區
163,桃源區,102,100.0,0.7,82.8,0.4,15.9,0.2,-,-,高雄市,桃源區
164,那瑪夏,101,100.0,1.2,84.9,0.0,12.1,1.1,0.6,-,高雄市,那瑪夏
165,宜蘭縣,"1,206",100.0,5.1,77.5,3.9,4.2,6.5,0.6,2.1,,
166,宜蘭市,100,100.0,1.9,75.2,4.4,7.7,10.8,-,-,宜蘭縣,宜蘭市
167,羅東鎮,101,100.0,4.9,82.5,6.0,2.9,3.7,-,-,宜蘭縣,羅東鎮
168,蘇澳鎮,100,100.0,5.1,72.8,10.2,1.2,7.5,2.0,1.1,宜蘭縣,蘇澳鎮
169,頭城鎮,100,100.0,2.3,75.9,6.0,6.7,8.4,-,0.8,宜蘭縣,頭城鎮
170,礁溪鄉,101,100.0,3.8,88.3,1.0,-,5.7,1.1,-,宜蘭縣,礁溪鄉
171,壯圍鄉,101,100.0,1.0,81.2,1.1,0.4,11.0,1.8,3.4,宜蘭縣,壯圍鄉
172,員山鄉,101,100.0,12.0,80.8,4.1,0.7,0.9,1.6,-,宜蘭縣,員山鄉
173,冬山鄉,101,100.0,11.7,82.6,0.5,1.0,4.2,-,-,宜蘭縣,冬山鄉
174,五結鄉,101,100.0,3.9,82.9,3.6,2.9,6.0,-,0.7,宜蘭縣,五結鄉
175,三星鄉,100,100.0,10.0,72.9,3.3,6.4,5.3,-,2.1,宜蘭縣,三星鄉
176,大同鄉,100,100.0,1.4,47.9,0.2,15.9,1.6,0.2,32.8,宜蘭縣,大同鄉
177,南澳鄉,100,100.0,1.6,55.1,6.8,21.6,14.1,-,0.7,宜蘭縣,南澳鄉
178,新竹縣,"4,840",100.0,64.9,26.6,3.7,2.1,1.6,0.2,1.0,,
179,竹北市,468,100.0,42.5,46.6,5.8,0.9,2.8,0.1,1.3,新竹縣,竹北市
180,竹東鎮,414,100.0,82.5,14.9,1.2,0.4,0.8,0.1,0.2,新竹縣,竹東鎮
181,新埔鎮,413,100.0,81.0,13.8,1.3,0.2,0.3,0.5,2.9,新竹縣,新埔鎮
182,關西鎮,415,100.0,87.0,10.6,0.5,1.2,0.3,0.4,-,新竹縣,關西鎮
183,湖口鄉,408,100.0,71.7,18.6,6.9,1.3,1.4,0.0,0.2,新竹縣,湖口鄉
184,新豐鄉,403,100.0,48.0,44.3,3.6,0.9,1.7,0.8,0.6,新竹縣,新豐鄉
185,芎林鄉,402,100.0,80.5,16.9,1.4,0.5,0.4,-,0.3,新竹縣,芎林鄉
186,橫山鄉,406,100.0,78.6,15.9,4.1,1.1,-,0.1,0.2,新竹縣,橫山鄉
187,北埔鄉,407,100.0,81.2,11.5,0.4,0.6,0.5,-,5.8,新竹縣,北埔鄉
188,寶山鄉,400,100.0,70.3,22.0,2.5,0.2,2.6,-,2.4,新竹縣,寶山鄉
189,峨眉鄉,404,100.0,87.6,9.9,1.1,1.3,0.2,0.1,0.0,新竹縣,峨眉鄉
190,尖石鄉,200,100.0,18.5,39.6,2.3,30.8,8.7,-,0.1,新竹縣,尖石鄉
191,五峰鄉,100,100.0,6.2,50.6,22.6,20.5,-,-,-,新竹縣,五峰鄉
192,苗栗縣,"7,323",100.0,57.5,37.1,2.3,1.2,1.2,0.1,0.5,,
193,苗栗市,405,100.0,81.1,14.4,2.0,0.5,2.0,-,-,苗栗縣,苗栗市
194,苑裡鎮,409,100.0,21.9,73.5,1.8,-,1.7,0.3,0.8,苗栗縣,苑裡鎮
195,通霄鎮,404,100.0,25.4,66.1,0.9,1.8,5.1,0.2,0.4,苗栗縣,通霄鎮
196,竹南鎮,412,100.0,23.0,72.2,2.3,1.0,0.7,0.4,0.4,苗栗縣,竹南鎮
197,頭份鎮,416,100.0,69.3,25.2,2.8,0.7,1.0,-,1.1,苗栗縣,頭份鎮
198,後龍鎮,409,100.0,25.7,70.9,1.1,0.2,0.7,-,1.3,苗栗縣,後龍鎮
199,卓蘭鎮,411,100.0,67.2,29.0,2.0,0.3,0.8,-,0.7,苗栗縣,卓蘭鎮
200,大湖鄉,408,100.0,88.1,9.6,0.3,1.2,0.5,-,0.2,苗栗縣,大湖鄉
201,公館鄉,403,100.0,86.4,11.1,1.5,0.4,0.2,-,0.4,苗栗縣,公館鄉
202,銅鑼鄉,403,100.0,89.6,7.7,1.1,0.9,-,0.3,0.3,苗栗縣,銅鑼鄉
203,南庄鄉,404,100.0,73.0,16.2,4.4,6.0,-,-,0.3,苗栗縣,南庄鄉
204,頭屋鄉,408,100.0,85.3,9.5,1.9,1.0,0.7,-,1.5,苗栗縣,頭屋鄉
205,三義鄉,408,100.0,67.0,31.7,0.5,0.2,0.5,0.1,0.0,苗栗縣,三義鄉
206,西湖鄉,408,100.0,61.5,34.4,3.3,0.3,0.2,-,0.4,苗栗縣,西湖鄉
207,造橋鄉,409,100.0,81.0,17.1,1.7,-,0.1,-,0.1,苗栗縣,造橋鄉
208,三灣鄉,404,100.0,79.4,15.3,0.7,0.5,3.5,-,0.7,苗栗縣,三灣鄉
209,獅潭鄉,401,100.0,79.2,18.2,0.4,1.6,0.1,0.3,0.1,苗栗縣,獅潭鄉
210,泰安鄉,401,100.0,42.8,22.3,18.1,16.2,0.6,0.0,-,苗栗縣,泰安鄉
211,彰化縣,"2,623",100.0,4.2,83.8,3.1,1.2,6.1,0.2,1.5,,
212,彰化市,101,100.0,3.5,83.7,6.2,-,4.5,-,2.0,彰化縣,彰化市
213,鹿港鎮,102,100.0,2.4,82.0,2.4,3.8,5.1,-,4.4,彰化縣,鹿港鎮
214,和美鎮,103,100.0,3.7,80.3,3.2,-,11.9,-,0.9,彰化縣,和美鎮
215,線西鄉,100,100.0,0.8,92.7,1.1,0.5,4.0,-,0.8,彰化縣,線西鄉
216,伸港鄉,101,100.0,2.4,80.1,4.6,3.0,9.1,-,0.9,彰化縣,伸港鄉
217,福興鄉,100,100.0,2.8,92.1,2.9,0.2,1.1,-,1.0,彰化縣,福興鄉
218,秀水鄉,100,100.0,2.1,88.1,-,0.4,9.4,-,-,彰化縣,秀水鄉
219,花壇鄉,101,100.0,2.5,79.9,5.4,2.6,7.3,-,2.3,彰化縣,花壇鄉
220,芬園鄉,100,100.0,2.9,85.4,-,1.3,10.4,-,-,彰化縣,芬園鄉
221,員林鎮,100,100.0,7.4,73.8,6.1,5.2,4.8,-,2.7,彰化縣,員林鎮
222,溪湖鎮,100,100.0,3.0,83.6,1.4,-,8.9,-,3.0,彰化縣,溪湖鎮
223,田中鎮,100,100.0,11.2,65.4,6.2,2.9,11.2,-,3.1,彰化縣,田中鎮
224,大村鄉,100,100.0,2.1,91.7,2.3,-,3.9,-,-,彰化縣,大村鄉
225,埔鹽鄉,100,100.0,2.2,93.7,1.2,-,2.9,-,-,彰化縣,埔鹽鄉
226,埔心鄉,100,100.0,4.6,82.8,0.9,1.1,9.3,-,1.2,彰化縣,埔心鄉
227,永靖鄉,100,100.0,7.6,80.5,4.1,-,7.6,-,0.3,彰化縣,永靖鄉
228,社頭鄉,102,100.0,2.7,89.6,0.7,1.1,4.4,-,1.5,彰化縣,社頭鄉
229,二水鄉,100,100.0,0.5,93.3,0.8,0.4,4.9,-,-,彰化縣,二水鄉
230,北斗鎮,100,100.0,2.2,82.5,0.5,3.0,7.6,1.8,2.3,彰化縣,北斗鎮
231,二林鎮,101,100.0,11.0,83.4,1.1,-,0.7,2.9,0.9,彰化縣,二林鎮
232,田尾鄉,103,100.0,5.2,87.6,-,-,6.8,-,0.5,彰化縣,田尾鄉
233,埤頭鄉,101,100.0,2.6,93.6,1.7,0.2,1.8,-,-,彰化縣,埤頭鄉
234,芳苑鄉,106,100.0,4.4,86.9,2.3,0.6,5.9,-,-,彰化縣,芳苑鄉
235,大城鄉,101,100.0,5.1,89.2,1.2,1.3,2.3,-,0.9,彰化縣,大城鄉
236,竹塘鄉,101,100.0,3.1,87.6,1.1,-,6.8,0.3,1.0,彰化縣,竹塘鄉
237,溪州鄉,100,100.0,5.9,83.9,-,0.3,8.7,-,1.3,彰化縣,溪州鄉
238,南投縣,"2,618",100.0,11.7,72.9,3.7,4.2,5.7,0.3,1.5,,
239,南投市,103,100.0,6.9,70.3,2.4,9.2,11.3,-,-,南投縣,南投市
240,埔里鎮,400,100.0,11.5,69.0,2.0,7.1,5.8,-,4.6,南投縣,埔里鎮
241,草屯鎮,101,100.0,8.0,78.6,0.2,3.5,7.2,-,2.6,南投縣,草屯鎮
242,竹山鎮,102,100.0,7.9,82.3,3.3,0.1,4.0,1.1,1.2,南投縣,竹山鎮
243,集集鎮,102,100.0,5.5,77.9,3.3,-,12.9,-,0.3,南投縣,集集鎮
244,名間鄉,102,100.0,9.0,75.1,8.7,1.0,3.7,2.6,-,南投縣,名間鄉
245,鹿谷鄉,102,100.0,4.8,90.0,2.3,1.1,1.8,-,-,南投縣,鹿谷鄉
246,中寮鄉,201,100.0,12.1,68.0,6.3,4.4,7.8,-,1.4,南投縣,中寮鄉
247,魚池鄉,102,100.0,9.5,69.0,18.7,1.8,0.8,-,0.2,南投縣,魚池鄉
248,國姓鄉,400,100.0,50.7,46.6,1.3,0.1,0.9,-,0.6,南投縣,國姓鄉
249,水里鄉,400,100.0,20.3,71.6,1.5,2.2,3.9,0.1,0.4,南投縣,水里鄉
250,信義鄉,402,100.0,13.8,77.3,1.1,3.4,3.1,0.5,0.8,南投縣,信義鄉
251,仁愛鄉,101,100.0,3.2,71.6,8.0,11.8,1.1,-,4.3,南投縣,仁愛鄉
252,雲林縣,"2,652",100.0,5.9,82.2,2.3,1.2,7.1,0.1,1.1,,
253,斗六市,104,100.0,8.0,73.2,6.4,-,12.4,-,-,雲林縣,斗六市
254,斗南鎮,101,100.0,1.2,73.5,3.4,4.4,12.6,-,4.8,雲林縣,斗南鎮
255,虎尾鎮,100,100.0,1.3,93.0,1.3,1.5,2.9,-,-,雲林縣,虎尾鎮
256,西螺鎮,100,100.0,6.1,84.6,0.6,1.1,3.5,-,4.2,雲林縣,西螺鎮
257,土庫鎮,105,100.0,2.7,84.3,6.4,1.0,3.4,-,2.1,雲林縣,土庫鎮
258,北港鎮,102,100.0,4.9,78.7,3.5,2.4,8.7,-,1.7,雲林縣,北港鎮
259,古坑鄉,101,100.0,2.5,83.7,1.4,1.2,9.9,-,1.4,雲林縣,古坑鄉
260,大埤鄉,102,100.0,2.2,87.2,2.0,0.8,7.8,-,-,雲林縣,大埤鄉
261,莿桐鄉,100,100.0,2.9,86.9,1.2,-,7.1,-,1.9,雲林縣,莿桐鄉
