,項目別,樣本數,總計,臺灣客家人,福老人,大陸各省市人,原住民,臺灣人,其他族群,不知道/未回答,縣市,鄉鎮市區
321,泰武鄉,100,100.0,4.2,59.3,1.5,33.9,1.1,-,-,屏東縣,泰武鄉
322,來義鄉,101,100.0,6.5,53.7,0.7,38.7,0.5,-,-,屏東縣,來義鄉
323,春日鄉,100,100.0,9.3,57.7,0.4,18.2,14.1,-,0.3,屏東縣,春日鄉
324,獅子鄉,100,100.0,3.3,72.0,0.3,22.2,2.2,-,-,屏東縣,獅子鄉
325,牡丹鄉,100,100.0,3.7,53.3,0.3,39.7,3.0,-,-,屏東縣,牡丹鄉
326,臺東縣,"2,636",100.0,13.9,59.9,6.4,13.9,4.8,0.4,0.5,,
327,臺東市,214,100.0,11.6,62.8,8.2,13.5,2.0,1.7,0.2,臺東縣,臺東市
328,成功鎮,101,100.0,9.8,55.7,2.3,28.1,4.1,-,-,臺東縣,成功鎮
329,關山鎮,403,100.0,40.8,46.0,0.5,3.9,8.8,-,0.1,臺東縣,關山鎮
330,卑南鄉,100,100.0,5.6,55.8,6.4,31.6,0.5,-,-,臺東縣,卑南鄉
331,鹿野鄉,401,100.0,31.4,58.5,3.7,6.3,0.1,-,-,臺東縣,鹿野鄉
332,池上鄉,400,100.0,36.8,42.4,15.4,5.1,0.2,-,0.1,臺東縣,池上鄉
333,東河鄉,109,100.0,9.3,60.3,0.8,26.0,3.6,-,-,臺東縣,東河鄉
334,長濱鄉,103,100.0,11.4,50.1,18.3,18.2,2.0,-,-,臺東縣,長濱鄉
335,太麻里,101,100.0,6.7,55.6,4.0,30.0,3.2,-,0.5,臺東縣,太麻里
336,大武鄉,100,100.0,4.9,60.7,8.2,13.6,11.9,-,0.6,臺東縣,大武鄉
337,綠島鄉,100,100.0,1.1,53.4,1.4,0.2,43.5,-,0.3,臺東縣,綠島鄉
338,海端鄉,100,100.0,0.7,43.9,16.1,28.8,10.4,-,0.1,臺東縣,海端鄉
339,延平鄉,104,100.0,0.8,87.6,7.1,3.5,0.7,-,0.3,臺東縣,延平鄉
340,金峰鄉,100,100.0,8.3,76.2,0.8,12.4,2.3,-,-,臺東縣,金峰鄉
341,達仁鄉,100,100.0,1.3,73.0,1.0,9.3,0.9,-,14.4,臺東縣,達仁鄉
342,蘭嶼鄉,100,100.0,4.6,75.7,-,7.6,12.2,-,-,臺東縣,蘭嶼鄉
343,花蓮縣,"4,030",100.0,24.7,52.6,5.6,13.7,2.7,0.2,0.4,,
344,花蓮市,405,100.0,20.0,60.3,7.7,7.1,4.5,0.5,0.1,花蓮縣,花蓮市
345,鳳林鎮,401,100.0,43.7,42.7,3.9,7.7,0.7,0.5,0.9,花蓮縣,鳳林鎮
346,玉里鎮,403,100.0,32.0,43.7,14.1,8.9,0.9,-,0.3,花蓮縣,玉里鎮
347,新城鄉,401,100.0,13.3,64.2,7.4,13.6,1.3,-,0.3,花蓮縣,新城鄉
348,吉安鄉,404,100.0,31.5,50.3,4.2,8.7,4.5,-,0.8,花蓮縣,吉安鄉
349,壽豐鄉,404,100.0,25.0,60.8,1.8,10.2,1.7,0.1,0.3,花蓮縣,壽豐鄉
350,光復鄉,405,100.0,25.0,40.0,5.3,21.7,7.3,-,0.7,花蓮縣,光復鄉
351,豐濱鄉,104,100.0,2.8,52.5,6.8,33.9,2.2,1.7,0.3,花蓮縣,豐濱鄉
352,瑞穗鄉,400,100.0,29.5,43.9,0.8,24.9,0.5,0.3,0.1,花蓮縣,瑞穗鄉
353,富里鄉,400,100.0,39.0,51.5,2.5,6.1,0.6,0.3,-,花蓮縣,富里鄉
354,秀林鄉,102,100.0,2.2,43.7,2.8,50.7,0.7,-,-,花蓮縣,秀林鄉
355,萬榮鄉,100,100.0,10.6,15.2,4.6,69.3,0.3,-,-,花蓮縣,萬榮鄉
356,卓溪鄉,101,100.0,0.3,72.5,3.1,22.9,0.8,0.4,-,花蓮縣,卓溪鄉
357,澎湖縣,102,100.0,4.6,74.2,4.9,-,6.0,-,10.4,,
358,基隆市,710,100.0,5.6,75.2,9.9,3.3,4.6,0.5,0.8,,
359,中正區,102,100.0,1.3,86.0,3.0,5.3,3.5,-,1.0,基隆市,中正區
360,七堵區,100,100.0,3.2,82.0,4.8,1.6,6.5,1.9,-,基隆市,七堵區
361,暖暖區,102,100.0,8.1,72.2,14.8,-,3.8,1.1,-,基隆市,暖暖區
362,仁愛區,101,100.0,8.3,76.8,7.8,-,5.1,1.2,0.8,基隆市,仁愛區
363,中山區,103,100.0,7.8,67.4,11.1,4.5,5.1,-,4.0,基隆市,中山區
364,安樂區,101,100.0,6.4,68.2,14.5,6.3,4.4,-,0.2,基隆市,安樂區
365,信義區,101,100.0,5.1,76.3,12.4,2.4,3.9,-,-,基隆市,信義區
366,新竹市,"1,575",100.0,26.2,62.2,7.0,1.0,3.0,0.0,0.5,,
367,東區,605,100.0,28.1,61.7,5.7,1.2,2.9,-,0.5,新竹市,東區
368,北區,562,100.0,23.3,61.4,10.2,0.8,4.0,-,0.3,新竹市,北區
369,香山區,408,100.0,27.7,65.0,3.6,1.1,1.4,0.1,1.0,新竹市,香山區
370,嘉義市,207,100.0,5.9,81.6,4.0,-,7.5,-,1.0,,
371,東區,102,100.0,7.4,78.2,6.2,-,8.0,-,0.3,嘉義市,東區
372,西區,105,100.0,4.6,84.5,2.1,-,7.0,-,1.7,嘉義市,西區
373,金門縣,113,100.0,1.2,83.8,5.1,7.2,1.9,-,0.7,,
374,連江縣,102,100.0,2.1,57.8,26.7,-,12.6,-,0.8,,
